model_name,number_of_epochs,batch_size,duration,train_accuracy,test_accuracy,train_loss,test_loss
model_1_epoch_10_batch_size_64_duration_4.0.h5,10,64,4.0,0.4170365035533905,0.3445907235145569,1.5567706823349,1.7913146018981934
model_1_epoch_10_batch_size_128_duration_1.0.h5,10,128,1.0,0.3256979286670685,0.3148254156112671,1.8074759244918823,1.9169000387191772
model_1_epoch_10_batch_size_128_duration_1.5.h5,10,128,1.5,0.342591255903244,0.4167143702507019,1.8506460189819336,1.6458604335784912
model_1_epoch_10_batch_size_128_duration_2.0.h5,10,128,2.0,0.22634215652942657,0.33543217182159424,2.1049296855926514,1.9287465810775757
model_1_epoch_10_batch_size_128_duration_3.0.h5,10,128,3.0,0.2667143940925598,0.33028048276901245,1.9706164598464966,1.9060213565826416
model_1_epoch_10_batch_size_128_duration_4.0.h5,10,128,4.0,0.11352898925542831,0.10589582473039627,2.261927843093872,2.264545202255249
model_1_epoch_15_batch_size_8_duration_1.0.h5,15,8,1.0,0.5478883385658264,0.48654836416244507,1.3061048984527588,1.4818835258483887
model_1_epoch_15_batch_size_8_duration_1.5.h5,15,8,1.5,0.5959914326667786,0.5741270780563354,1.2084317207336426,1.261453628540039
model_1_epoch_15_batch_size_8_duration_2.0.h5,15,8,2.0,0.12025769799947739,0.10589582473039627,2.2583906650543213,2.263986825942993
model_1_epoch_15_batch_size_8_duration_3.0.h5,15,8,3.0,0.6771653294563293,0.6714367270469666,0.9825892448425293,1.029074788093567
model_1_epoch_15_batch_size_8_duration_4.0.h5,15,8,4.0,0.5801002383232117,0.3743560314178467,1.1773319244384766,2.1072235107421875
model_1_epoch_15_batch_size_16_duration_1.0.h5,15,16,1.0,0.5476019978523254,0.5815684199333191,1.287606120109558,1.2501245737075806
model_1_epoch_15_batch_size_16_duration_1.5.h5,15,16,1.5,0.6314960718154907,0.633085310459137,1.0931408405303955,1.1298362016677856
model_1_epoch_15_batch_size_16_duration_2.0.h5,15,16,2.0,0.6062992215156555,0.5535203218460083,1.1543076038360596,1.3590620756149292
